date,year,carrier_code,carrier_name,alliance,aircraft_type,flight_no,origin_iata,dest_iata,tail,review_url,origin_name,origin_city,origin_state,origin_country,origin_lat,origin_lon,dest_name,dest_city,dest_state,dest_country,dest_lat,dest_lon
20250117,2025,DL,Delta Air Lines,SkyTeam,A320,DL1137,ATL,ALB,N360NW,,Hartsfield-Jackson Atlanta International Airport,Atlanta,Georgia,United States,33.6367,-84.428101,Albany International Airport,Albany / Colonie,New York,United States,42.748299,-73.801697
20250120,2025,DL,Delta Air Lines,SkyTeam,A320,DL1137,ALB,ATL,N369NW,,Albany International Airport,Albany / Colonie,New York,United States,42.748299,-73.801697,Hartsfield-Jackson Atlanta International Airport,Atlanta,Georgia,United States,33.6367,-84.428101
20250215,2025,WS,WestJet,SkyTeam,B738,WS1029,ATL,YEG,C-FRWA,https://youtu.be/l-PDmswR6ps,Hartsfield-Jackson Atlanta International Airport,Atlanta,Georgia,United States,33.6367,-84.428101,Edmonton International Airport,Leduc County / Edmonton,Alberta,Canada,53.3097,-113.580002
20250216,2025,AC,Air Canada,Star Alliance,B38M,AC231,YEG,YVR,C-GEHY,https://youtu.be/8KffHckxM0Q,Edmonton International Airport,Leduc County / Edmonton,Alberta,Canada,53.3097,-113.580002,Vancouver International Airport,Richmond / Vancouver,British Columbia,Canada,49.193901,-123.183998
20250216,2025,AC,Air Canada,Star Alliance,B789,AC104,YVR,YYZ,C-FRTU,https://youtu.be/yjAQ3MCEtfQ,Vancouver International Airport,Richmond / Vancouver,British Columbia,Canada,49.193901,-123.183998,Toronto Pearson International Airport,Mississauga / Toronto,Ontario,Canada,43.675935,-79.629421
20250217,2025,DL,Delta Air Lines,SkyTeam,B738,DL2662,YYZ,ATL,N381DN,https://youtu.be/uu65N716-7k,Toronto Pearson International Airport,Mississauga / Toronto,Ontario,Canada,43.675935,-79.629421,Hartsfield-Jackson Atlanta International Airport,Atlanta,Georgia,United States,33.6367,-84.428101
20250301,2025,DL,Delta Air Lines,SkyTeam,B739,DL1155,ATL,BNA,N950DZ,,Hartsfield-Jackson Atlanta International Airport,Atlanta,Georgia,United States,33.6367,-84.428101,Nashville International Airport,Nashville,Tennessee,United States,36.1245,-86.6782
20250301,2025,LF,Contour Airlines,Independent,E135,LF3002,BNA,TUP,N17513,https://youtu.be/SD3NCLJk19k,Nashville International Airport,Nashville,Tennessee,United States,36.1245,-86.6782,Tupelo Regional Airport,Tupelo,Mississippi,United States,34.268101,-88.769897
20250301,2025,LF,Contour Airlines,Independent,E135,LF3007,TUP,DFW,N17513,https://youtu.be/SD3NCLJk19k,Tupelo Regional Airport,Tupelo,Mississippi,United States,34.268101,-88.769897,Dallas Fort Worth International Airport,Dallas-Fort Worth,Texas,United States,32.896801,-97.038002
20250301,2025,F9,Frontier Airlines,Independent,A20N,F92494,DFW,ATL,N342FR,https://youtu.be/9_bpbQJayqY,Dallas Fort Worth International Airport,Dallas-Fort Worth,Texas,United States,32.896801,-97.038002,Hartsfield-Jackson Atlanta International Airport,Atlanta,Georgia,United States,33.6367,-84.428101
20250424,2025,CM,Copa Airlines,Star Alliance,B738,CM891,ATL,PTY,HP-1722CMP,https://youtu.be/AWMTLQiijR0,Hartsfield-Jackson Atlanta International Airport,Atlanta,Georgia,United States,33.6367,-84.428101,Tocumen International Airport,Panama City,Panama Province,Panama,9.07136,-79.383499
20250424,2025,CM,Copa Airlines,Star Alliance,B39M,CM759,PTY,GRU,HP-9902CMP,https://youtu.be/AWMTLQiijR0,Tocumen International Airport,Panama City,Panama Province,Panama,9.07136,-79.383499,Sao Paulo/Guarulhos-Governador Andre Franco Montoro International Airport,Guarulhos / Sao Paulo,Sao Paulo,Brazil,-23.431274,-46.469954
20250425,2025,G3,GOL,Independent,B38M,G31416,GRU,CNF,PS-GPI,https://youtu.be/bZRI-XPcIa4,Sao Paulo/Guarulhos-Governador Andre Franco Montoro International Airport,Guarulhos / Sao Paulo,Sao Paulo,Brazil,-23.431274,-46.469954,Belo Horizonte/Confins-Tancredo Neves International Airport,Confins / Belo Horizonte,Minas Gerais,Brazil,-19.63571,-43.966928
20250425,2025,AD,Azul,Independent,E295,AD4799,CNF,BSB,PS-AEY,https://youtu.be/5FSWZkinEIc,Belo Horizonte/Confins-Tancredo Neves International Airport,Confins / Belo Horizonte,Minas Gerais,Brazil,-19.63571,-43.966928,Brasilia International Airport - Presidente Juscelino Kubitschek,Brasilia,Federal District,Brazil,-15.869167,-47.920834
